
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
399,0.875000,0.875000,0.700000,0.700000,0.865000,0.865000,0.880000,0.880000,0.810000,0.810000,0.744010,0.744010,0.397832,0.397832,0.728534,0.728534,0.751964,0.751964,0.622716,0.622716
599,0.807500,0.740000,0.692500,0.685000,0.835000,0.805000,0.872500,0.865000,0.802500,0.795000,0.609850,0.477649,0.387023,0.375619,0.664182,0.599178,0.738085,0.724208,0.608872,0.594862
799,0.816667,0.835000,0.745000,0.850000,0.840000,0.850000,0.856667,0.825000,0.820000,0.855000,0.633333,0.659653,0.491503,0.691199,0.680199,0.685039,0.712797,0.636175,0.641894,0.697349
999,0.837500,0.900000,0.757500,0.795000,0.835000,0.820000,0.857500,0.860000,0.841250,0.905000,0.675049,0.799358,0.515436,0.588353,0.670025,0.640575,0.714936,0.718650,0.683059,0.808003
1199,0.832000,0.810000,0.765000,0.795000,0.831000,0.815000,0.866000,0.900000,0.835000,0.810000,0.656301,0.178201,0.523732,0.248534,0.655538,0.337393,0.726642,0.661247,0.666545,0.178201
1399,0.839167,0.875000,0.775000,0.825000,0.840000,0.885000,0.866667,0.870000,0.835000,0.835000,0.660808,0.600000,0.529944,0.411765,0.666898,0.691275,0.722222,0.653333,0.656250,0.435897
1599,0.841429,0.855000,0.797143,0.930000,0.853571,0.935000,0.865000,0.855000,0.833571,0.825000,0.656578,0.568709,0.564638,0.786845,0.687742,0.812464,0.712544,0.599669,0.641062,0.360847
1799,0.836875,0.805000,0.796250,0.790000,0.855000,0.865000,0.860000,0.825000,0.836250,0.855000,0.655301,0.610778,0.572993,0.581047,0.695946,0.730162,0.706430,0.650070,0.653287,0.710058
1999,0.821667,0.700000,0.783333,0.680000,0.845556,0.770000,0.857222,0.835000,0.836111,0.835000,0.626149,0.437412,0.544931,0.319511,0.673505,0.467284,0.698577,0.625426,0.652123,0.645161
2199,0.817000,0.775000,0.778500,0.735000,0.836000,0.750000,0.856000,0.845000,0.830500,0.780000,0.613428,0.476744,0.529807,0.352078,0.650514,0.411418,0.693927,0.642445,0.636061,0.450344
2399,0.807273,0.710000,0.775000,0.740000,0.834091,0.815000,0.851818,0.810000,0.800909,0.505000,0.595674,0.451589,0.526213,0.508321,0.652682,0.621135,0.690695,0.607276,0.572995,0.135975
2599,0.804167,0.770000,0.773750,0.760000,0.818750,0.650000,0.843750,0.755000,0.804583,0.845000,0.591154,0.541650,0.523709,0.496433,0.622199,0.300000,0.673965,0.490750,0.581633,0.674164
2799,0.806538,0.835000,0.775385,0.795000,0.816154,0.785000,0.838846,0.780000,0.797692,0.715000,0.598768,0.670198,0.529416,0.588601,0.619111,0.570086,0.665471,0.559471,0.567482,0.423660
2999,0.811071,0.870000,0.777857,0.810000,0.819286,0.860000,0.840000,0.855000,0.808929,0.955000,0.605401,0.684159,0.531955,0.570912,0.622855,0.655512,0.664387,0.593838,0.586395,0.872086
3199,0.810333,0.800000,0.777333,0.770000,0.814000,0.740000,0.835667,0.775000,0.810667,0.835000,0.606091,0.608764,0.533443,0.545814,0.612979,0.476651,0.655720,0.535891,0.592965,0.670527
3399,0.815625,0.895000,0.781875,0.850000,0.815312,0.835000,0.838125,0.875000,0.813438,0.855000,0.619544,0.790377,0.546559,0.701076,0.618673,0.665789,0.664296,0.742109,0.603577,0.714623
3599,0.822059,0.925000,0.788824,0.900000,0.817353,0.850000,0.839118,0.855000,0.820588,0.935000,0.631881,0.836066,0.560173,0.785408,0.622056,0.675746,0.665121,0.670829,0.617812,0.856860
3799,0.823611,0.850000,0.791389,0.835000,0.817222,0.815000,0.838333,0.825000,0.820833,0.825000,0.630172,0.325691,0.559277,0.226442,0.617115,0.259704,0.659881,0.414128,0.612112,0.155405
3999,0.827632,0.900000,0.795000,0.860000,0.821842,0.905000,0.837368,0.820000,0.819211,0.790000,0.638387,0.789584,0.566767,0.704485,0.627206,0.804728,0.658452,0.631714,0.608083,0.540733
4199,0.827500,0.825000,0.798250,0.860000,0.820250,0.790000,0.836000,0.810000,0.815500,0.745000,0.635591,0.536915,0.570845,0.634894,0.622347,0.504892,0.653951,0.540007,0.596294,0.243772
4399,0.825952,0.795000,0.796429,0.760000,0.818571,0.785000,0.836190,0.840000,0.811190,0.725000,0.629333,0.411427,0.563093,0.281330,0.616787,0.459119,0.652797,0.611509,0.582407,0.093008
4599,0.827045,0.850000,0.798182,0.835000,0.816364,0.770000,0.835682,0.825000,0.815000,0.895000,0.634312,0.700000,0.570611,0.670000,0.615418,0.540000,0.653595,0.650000,0.594512,0.790000
4799,0.830435,0.905000,0.802174,0.890000,0.815652,0.800000,0.836522,0.855000,0.817609,0.875000,0.641318,0.797052,0.579158,0.766653,0.613560,0.571734,0.655446,0.695953,0.599928,0.721169
4999,0.828750,0.790000,0.803333,0.830000,0.816250,0.830000,0.836250,0.830000,0.815625,0.770000,0.634680,0.325626,0.578568,0.498525,0.612443,0.530387,0.653227,0.568747,0.591553,0.202497
